Day,Product vendor,Product title,Product type,Product variant ID,Product variant title,Hour,Hour of day,Product ID,Product tag,Product variant SKU,Order ID,Sales channel,POS location ID,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,Quantity ordered
2025-01-02,CHURI,Crochet Flower,Crochet Flower,4.87522E+13,,2025-01-02 14:00,14,7.54156E+12,,,5.71934E+12,Point of Sale,67810984120,1,18,0,0,18,0,0,0,2.16,20.16,1
2025-01-02,CHURI,Sea Turtle Crochet Keychain,crochet keychain,4.25205E+13,Pink,2025-01-02 17:00,17,7.33089E+12,crochet keychain,,5.71949E+12,Shop,0,1,20,0,0,20,0,0,0,1,21,1
2025-01-02,Craft Maison,CM Pop Up Card,Pop up Card,4.2403E+13,Regular,2025-01-02 15:00,15,7.3044E+12,,,5.71942E+12,Point of Sale,67810984120,1,13,0,0,13,0,0,0,1.56,14.56,1
2025-01-02,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-02 13:00,13,7.30876E+12,,,5.7193E+12,Point of Sale,67810984120,1,0.5,0,0,0.5,0,0,0,0.07,0.57,2
2025-01-02,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-02 17:00,17,7.30876E+12,,,5.71949E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-02,CHURI,Silver Jewelry,Jewelry,4.23667E+13,Ring $50,2025-01-02 13:00,13,7.30038E+12,,,5.71931E+12,Point of Sale,67810984120,1,50,0,0,50,0,0,0,6,56,1
2025-01-02,Better home,Better Home plants,,4.3184E+13,18,2025-01-02 14:00,14,7.50959E+12,local vendors,,5.71934E+12,Point of Sale,67810984120,1,18,0,0,18,0,0,0,2.16,20.16,1
2025-01-02,Craft Maison,CM Pop Up Card,Pop up Card,4.2403E+13,Regular,2025-01-02 17:00,17,7.3044E+12,,,5.71949E+12,Point of Sale,67810984120,1,13,0,0,13,0,0,0,1.56,14.56,1
2025-01-02,HOM naturals,,,0,,2025-01-02 15:00,15,0,,,5.71938E+12,Point of Sale,67810984120,1,24,-12,0,12,0,0,0,1.44,13.44,1
2025-01-02,Yum Ice,Yum Ice - Freeze Dried Candy,Freeze- Dried Candy,4.24144E+13,07- Peach Rings,2025-01-02 13:00,13,7.30681E+12,local vendors,,5.71931E+12,Point of Sale,67810984120,1,10,-2.5,0,7.5,0,0,0,0.91,8.41,1
2025-01-02,aRt.V,aRt.V,Art,4.32725E+13,Bookmark $15,2025-01-02 13:00,13,7.54159E+12,,,5.7193E+12,Point of Sale,67810984120,1,15,0,0,15,0,0,0,1.8,16.8,1
2025-01-02,Yum Ice,Yum Ice - Freeze Dried Candy,Freeze- Dried Candy,4.24144E+13,15- Sour Rainbow,2025-01-02 13:00,13,7.30681E+12,local vendors,,5.71931E+12,Point of Sale,67810984120,1,10,-2.5,0,7.5,0,0,0,0.91,8.41,1
2025-01-02,The Lotus Workshop,,,0,,2025-01-02 13:00,13,0,,,5.7193E+12,Point of Sale,67810984120,1,34,0,0,34,0,0,0,4.08,38.08,1
2025-01-02,Yum Ice,Yum Ice - Freeze Dried Candy,Freeze- Dried Candy,4.24144E+13,31- Tropical Rainbow,2025-01-02 13:00,13,7.30681E+12,local vendors,,5.71931E+12,Point of Sale,67810984120,1,10,-2.5,0,7.5,0,0,0,0.91,8.41,1
2025-01-03,CHURI,Silver Jewelry,Jewelry,4.23667E+13,Ring $50,2025-01-03 15:00,15,7.30038E+12,,,5.72048E+12,Point of Sale,67810984120,1,50,0,0,50,0,0,0,6,56,1
2025-01-03,CHURI,Crochet keychains,Keychain,4.85343E+13,$16,2025-01-03 11:00,11,9.20944E+12,local vendors,,5.72028E+12,Point of Sale,67810984120,1,16,-4.8,0,11.2,0,0,0,1.34,12.54,1
2025-01-03,Ggumm Studio,Ggumm studio fuzzy keychain,,4.32138E+13,,2025-01-03 13:00,13,7.52193E+12,,,5.72039E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,1
2025-01-03,Yum Ice,Yum Ice - Freeze Dried Candy,Freeze- Dried Candy,4.24144E+13,22- Sour Rainbow Belt,2025-01-03 14:00,14,7.30681E+12,local vendors,,5.72041E+12,Point of Sale,67810984120,1,10,0,0,10,0,0,0,1.2,11.2,1
2025-01-03,CHURI,Crochet keychains,Keychain,4.85343E+13,$25,2025-01-03 11:00,11,9.20944E+12,local vendors,,5.72028E+12,Point of Sale,67810984120,1,25,0,0,25,0,0,0,3,28,1
2025-01-03,CHURI,Silver Jewelry,Jewelry,4.85355E+13,Ring $72,2025-01-03 12:00,12,7.30038E+12,,,5.72035E+12,Point of Sale,67810984120,1,72,0,0,72,0,0,0,8.64,80.64,1
2025-01-03,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-03 13:00,13,7.30876E+12,,,5.7204E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-03,Clawed Candles,Clawed Candle Collection,Candle,4.31597E+13,Praying Frenchie / Pink,2025-01-03 15:00,15,7.31545E+12,local vendors,,5.72047E+12,Point of Sale,67810984120,1,18,0,0,18,0,0,0,2.16,20.16,1
2025-01-03,Ggumm Studio,Ggumm studio fuzzy keychain,,4.32139E+13,,2025-01-03 13:00,13,7.52193E+12,,,5.7204E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,aRt.V,aRt.V,Art,4.8727E+13,,2025-01-03 14:00,14,7.54159E+12,,,5.72043E+12,Point of Sale,67810984120,1,32,0,0,32,0,0,0,3.84,35.84,1
2025-01-03,Ggumm Studio,Ggumm Studio Collection,,5.06729E+13,Guy frog,2025-01-03 11:00,11,7.31059E+12,local vendors,,5.72029E+12,Point of Sale,67810984120,1,22,0,0,22,0,0,0,2.64,24.64,1
2025-01-03,CHURI,Stickers,,4.23667E+13,Cat,2025-01-03 15:00,15,7.30038E+12,,,5.72049E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,2
2025-01-03,Milklady,MilkLady Soap,soap,4.88041E+13,Yule and Pine,2025-01-03 15:00,15,7.3068E+12,local vendors,,5.72047E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,Milklady,MilkLady Soap,soap,4.26801E+13,Candy Cane,2025-01-03 15:00,15,7.3068E+12,soap,,5.72047E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,CHURI,Crochet keychains,Keychain,4.85343E+13,$25,2025-01-03 13:00,13,9.20944E+12,local vendors,,5.72037E+12,Point of Sale,67810984120,1,25,0,0,25,0,0,0,3,28,1
2025-01-03,CHURI,Gold Plated Jewelry,Jewelry,4.33319E+13,Ring $35,2025-01-03 14:00,14,7.27485E+12,,,5.72044E+12,Point of Sale,67810984120,1,35,0,0,35,0,0,0,4.2,39.2,1
2025-01-03,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-03 15:00,15,7.30876E+12,,,5.72047E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-03,Ggumm Studio,Ggumm studio fuzzy keychain,,4.32138E+13,Sweater,2025-01-03 13:00,13,7.52193E+12,,,5.7204E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,1
2025-01-03,Ggumm Studio,Ggumm studio fuzzy keychain,,4.32139E+13,,2025-01-03 13:00,13,7.52193E+12,,,5.72039E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,CHURI,Crochet keychains,Keychain,4.85343E+13,$16,2025-01-03 12:00,12,9.20944E+12,local vendors,,5.72033E+12,Point of Sale,67810984120,1,16,-4.8,0,11.2,0,0,0,1.34,12.54,1
2025-01-03,Milklady,MilkLady Soap,soap,4.88041E+13,Yule and Pine,2025-01-03 15:00,15,7.3068E+12,soap,,5.72047E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,Menom,Menom Mug,Mug,4.26477E+13,Mug (L),2025-01-03 14:00,14,7.38116E+12,local vendors,,5.72043E+12,Point of Sale,67810984120,1,58,0,0,58,0,0,0,6.96,64.96,1
2025-01-03,Kellie Marie Flanagan Dezign,KMF DEZIGN,Bracelet,4.85272E+13,Licorices Leather,2025-01-03 15:00,15,9.20675E+12,local vendors,,5.72048E+12,Point of Sale,67810984120,1,50,0,0,50,0,0,0,6,56,1
2025-01-03,CHURI,Crochet keychains,Keychain,4.85343E+13,$20,2025-01-03 12:00,12,9.20944E+12,local vendors,,5.72033E+12,Point of Sale,67810984120,1,20,0,0,20,0,0,0,2.4,22.4,1
2025-01-03,Milklady,MilkLady Soap,soap,4.26801E+13,Candy Cane,2025-01-03 15:00,15,7.3068E+12,artisan soap,,5.72047E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,CHURI,Crochet keychains,Keychain,4.85343E+13,$16,2025-01-03 16:00,16,9.20944E+12,local vendors,,5.72051E+12,Point of Sale,67810984120,1,32,-16,0,16,0,0,0,1.92,17.92,2
2025-01-03,Milklady,MilkLady Soap,soap,4.26801E+13,Candy Cane,2025-01-03 15:00,15,7.3068E+12,local vendors,,5.72047E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,CHURI,Gold Plated Jewelry,Jewelry,4.21531E+13,Necklace $40,2025-01-03 14:00,14,7.27485E+12,,,5.72042E+12,Point of Sale,67810984120,1,40,0,0,40,0,0,0,4.8,44.8,1
2025-01-03,Milklady,MilkLady Soap,soap,4.88041E+13,Yule and Pine,2025-01-03 15:00,15,7.3068E+12,artisan soap,,5.72047E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-03,CHURI,Hanging Crochet Plant,Crochet hanging plant,4.32722E+13,,2025-01-03 13:00,13,7.33735E+12,NEW ARRIVALS,,5.72036E+12,Point of Sale,67810984120,1,29,0,0,29,0,0,0,3.48,32.48,1
2025-01-03,CHURI,Gold Plated Jewelry,Jewelry,4.25259E+13,Ring $50,2025-01-03 14:00,14,7.27485E+12,,,5.72044E+12,Point of Sale,67810984120,1,50,0,0,50,0,0,0,6,56,1
2025-01-03,Mosaic Motif,Mosaic Motif,,4.85478E+13,Earrings 38,2025-01-03 14:00,14,9.21237E+12,local vendors,,5.72041E+12,Point of Sale,67810984120,1,38,0,0,38,0,0,0,4.56,42.56,1
2025-01-03,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-03 12:00,12,7.30876E+12,,,5.72033E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-03,Ggumm Studio,Ggumm studio fuzzy keychain,,4.32138E+13,Mini dress,2025-01-03 13:00,13,7.52193E+12,,,5.72039E+12,Point of Sale,67810984120,1,6,0,0,6,0,0,0,0.72,6.72,1
2025-01-03,Belovedbyemily,Beloved by Emily Hair Accessories,Hair Accessories,4.24704E+13,Hair Claws,2025-01-03 16:00,16,7.31545E+12,local vendors,,5.72052E+12,Point of Sale,67810984120,1,8.99,0,0,8.99,0,0,0,1.08,10.07,1
2025-01-03,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-03 13:00,13,7.30876E+12,,,5.72036E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-03,CHURI,Pot Crochet Flower,Mini Crochet Flower,4.29031E+13,2 strawberries,2025-01-03 13:00,13,7.33735E+12,,,5.7204E+12,Point of Sale,67810984120,1,25,0,0,25,0,0,0,3,28,1
2025-01-03,aRt.V,aRt.V,Art,4.8716E+13,Hand painted coasters,2025-01-03 14:00,14,7.54159E+12,,,5.72043E+12,Point of Sale,67810984120,1,18,0,0,18,0,0,0,2.16,20.16,1
2025-01-03,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-03 14:00,14,7.30876E+12,,,5.72042E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-04,CHURI,Build you Charms,,4.88082E+13,,2025-01-04 14:00,14,9.27139E+12,local vendors,,5.72139E+12,Point of Sale,67810984120,1,15,0,0,15,0,0,0,1.05,16.05,1
2025-01-04,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-04 14:00,14,7.30876E+12,,,5.72139E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-04,Mosaic Motif,Mosaic Motif,,4.85478E+13,Earrings 30,2025-01-04 14:00,14,9.21237E+12,local vendors,,5.72139E+12,Point of Sale,67810984120,1,30,0,0,30,0,0,0,3.6,33.6,1
2025-01-04,Belovedbyemily,Beloved by Emily Hair Accessories,Hair Accessories,4.24704E+13,XL Hair Claws,2025-01-04 12:00,12,7.31545E+12,local vendors,,5.72128E+12,Point of Sale,67810984120,1,12.99,0,0,12.99,0,0,0,1.56,14.55,1
2025-01-04,Mindfullmode,Mindfullmode stickers,,4.84893E+13,Mentally ill and fabulous,2025-01-04 12:00,12,9.19759E+12,,,5.72131E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,2
2025-01-04,CHURI,Sunflower Crochet Tote Bag,Crochet Tote Bag,4.2684E+13,,2025-01-04 17:00,17,7.21916E+12,,,5.72155E+12,Point of Sale,67810984120,1,95,0,0,95,0,0,0,11.4,106.4,1
2025-01-04,CHURI,Stickers,,4.23667E+13,Cat,2025-01-04 15:00,15,7.30038E+12,,,5.72145E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,2
2025-01-04,Penguin Purl,Penguin Purl,,4.83024E+13,Scrubby,2025-01-04 17:00,17,9.13941E+12,Hair,,5.72154E+12,Point of Sale,67810984120,1,5,0,0,5,0,0,0,0.6,5.6,1
2025-01-04,Ggumm Studio,Ggumm Studio Collection,,5.06729E+13,Princess frog,2025-01-04 15:00,15,7.31059E+12,local vendors,,5.72145E+12,Point of Sale,67810984120,1,22,0,0,22,0,0,0,2.64,24.64,1
2025-01-04,Bead Mindful Gems,Bead Mindful Gem,Clay Earrings,4.28397E+13,$12 stud,2025-01-04 13:00,13,7.34409E+12,local vendors,,5.72137E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-04,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-04 17:00,17,7.30876E+12,,,5.72154E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-04,CHURI,,,0,,2025-01-04 17:00,17,0,,,5.72155E+12,Point of Sale,67810984120,1,16,0,0,16,0,0,0,1.92,17.92,1
2025-01-04,Liberum,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-04 17:00,17,7.30876E+12,,,5.72156E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-04,Craft Maison,CM Pop Up Card,Pop up Card,4.2403E+13,Regular,2025-01-04 11:00,11,7.3044E+12,,,5.72127E+12,Point of Sale,67810984120,1,13,0,0,13,0,0,0,1.56,14.56,1
2025-01-04,Penguin Purl,Penguin Purl,,4.83024E+13,Scrubby,2025-01-04 17:00,17,9.13941E+12,Accessories,,5.72154E+12,Point of Sale,67810984120,1,5,0,0,5,0,0,0,0.6,5.6,1
2025-01-04,Liberum,,,0,,2025-01-04 14:00,14,0,,,5.72139E+12,Point of Sale,67810984120,1,15,0,0,15,0,0,0,1.8,16.8,1
2025-01-04,Camila's Home & Living,Camila's Home & Living,,4.87553E+13,Home Air Freshener,2025-01-04 13:00,13,9.25866E+12,local vendors,,5.72137E+12,Point of Sale,67810984120,1,15,0,0,15,0,0,0,1.8,16.8,1
2025-01-04,CHURI,Crochet keychains,Keychain,4.85343E+13,$16,2025-01-04 12:00,12,9.20944E+12,local vendors,,5.72131E+12,Point of Sale,67810984120,1,16,0,0,16,0,0,0,1.92,17.92,1
2025-01-04,CHURI,Stickers,,4.24704E+13,Other,2025-01-04 13:00,13,7.30038E+12,,,5.72135E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,2
2025-01-04,Milklady,MilkLady Soap,soap,4.84904E+13,Rose petals,2025-01-04 17:00,17,7.3068E+12,local vendors,,5.72155E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-04,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-04 13:00,13,7.30876E+12,,,5.72136E+12,Point of Sale,67810984120,1,0.5,0,0,0.5,0,0,0,0.07,0.57,2
2025-01-04,Penguin Purl,Penguin Purl,,4.83024E+13,Scrubby,2025-01-04 17:00,17,9.13941E+12,Bow,,5.72154E+12,Point of Sale,67810984120,1,5,0,0,5,0,0,0,0.6,5.6,1
2025-01-04,Milklady,MilkLady Soap,soap,4.84904E+13,Rose petals,2025-01-04 17:00,17,7.3068E+12,soap,,5.72155E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-04,MC Crystal Creations,MC Crystal Creations Candles,,5.06575E+13,Rose quartz / 4 oz,2025-01-04 12:00,12,7.31051E+12,local vendors,,5.72129E+12,Point of Sale,67810984120,1,20,0,0,20,0,0,0,2.4,22.4,1
2025-01-04,CHURI,Crochet keychains,Keychain,4.85343E+13,$16,2025-01-04 17:00,17,9.20944E+12,local vendors,,5.72156E+12,Point of Sale,67810984120,1,32,-4.8,0,27.2,0,0,0,3.26,30.46,2
2025-01-04,CHURI,Stickers,,4.23667E+13,Cat,2025-01-04 13:00,13,7.30038E+12,,,5.72138E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,2
2025-01-04,CHURI,Silver Jewelry,Jewelry,4.2903E+13,Ring $55,2025-01-04 13:00,13,7.30038E+12,,,5.69331E+12,Point of Sale,67810984120,0,0,0,-49.5,-49.5,0,0,0,-5.95,-55.45,0
2025-01-04,Belovedbyemily,,,0,,2025-01-04 15:00,15,0,,,5.72145E+12,Point of Sale,67810984120,1,22,0,0,22,0,0,0,2.64,24.64,1
2025-01-04,CHURI,Hanging Crochet Plant,Crochet hanging plant,4.32722E+13,,2025-01-04 11:00,11,7.33735E+12,NEW ARRIVALS,,5.72127E+12,Point of Sale,67810984120,1,29,0,0,29,0,0,0,3.48,32.48,1
2025-01-04,HOM naturals,,,0,,2025-01-04 17:00,17,0,,,5.72154E+12,Point of Sale,67810984120,1,24,-12,0,12,0,0,0,1.44,13.44,1
2025-01-04,CHURI,Silver Jewelry,Jewelry,4.85354E+13,Ring $65,2025-01-04 14:00,14,7.30038E+12,,,5.72139E+12,Point of Sale,67810984120,1,65,0,0,65,0,0,0,7.8,72.8,1
2025-01-04,CHURI,Kraft bag,Kraft Bag,4.88195E+13,Kraft bag,2025-01-04 12:00,12,7.30876E+12,,,5.72128E+12,Point of Sale,67810984120,1,0.25,0,0,0.25,0,0,0,0.03,0.28,1
2025-01-04,Kellie Marie Flanagan Dezign,KMF DEZIGN,Bracelet,4.85272E+13,Beaded Bracelet $35,2025-01-04 12:00,12,9.20675E+12,local vendors,,5.72128E+12,Point of Sale,67810984120,1,35,0,0,35,0,0,0,4.2,39.2,1
2025-01-04,Belovedbyemily,Beloved by Emily Hair Accessories,Hair Accessories,4.24704E+13,Barrettes,2025-01-04 15:00,15,7.31545E+12,local vendors,,5.72145E+12,Point of Sale,67810984120,1,9.99,0,0,9.99,0,0,0,1.2,11.19,1
2025-01-04,Bead Mindful Gems,Bead Mindful Gem,Clay Earrings,4.85867E+13,Dangles 32,2025-01-04 10:00,10,7.34409E+12,local vendors,,5.72122E+12,Point of Sale,67810984120,1,32,0,0,32,0,0,0,3.84,35.84,1
2025-01-04,Better home,Better Home plants,,4.82337E+13,35,2025-01-04 13:00,13,7.50959E+12,local vendors,,5.72134E+12,Point of Sale,67810984120,1,35,0,0,35,0,0,0,4.2,39.2,1
2025-01-04,Craft Maison,CM Pop Up Card,Pop up Card,4.2403E+13,Regular,2025-01-04 11:00,11,7.3044E+12,,,5.72126E+12,Point of Sale,67810984120,1,26,0,0,26,0,0,0,3.12,29.12,2
2025-01-04,Craft Maison,CM Pop Up Card,Pop up Card,4.2403E+13,Regular,2025-01-04 17:00,17,7.3044E+12,,,5.72154E+12,Point of Sale,67810984120,1,13,0,0,13,0,0,0,1.56,14.56,1
2025-01-04,CHURI,Hanging Crochet Plant,Crochet hanging plant,4.32722E+13,Mix Bouquet,2025-01-04 15:00,15,7.33735E+12,NEW ARRIVALS,,5.72144E+12,Point of Sale,67810984120,1,29,0,0,29,0,0,0,3.48,32.48,1
2025-01-04,Craft Maison,CM Pop Up Card,Pop up Card,4.2403E+13,Regular,2025-01-04 13:00,13,7.3044E+12,,,5.72133E+12,Point of Sale,67810984120,1,26,0,0,26,0,0,0,3.12,29.12,2
2025-01-04,CHURI,Crocs Pins,Apparel & Accessories,4.85321E+13,Default Title,2025-01-04 11:00,11,9.20825E+12,,,5.72125E+12,Point of Sale,67810984120,1,6,0,0,6,0,0,0,0.72,6.72,1
2025-01-04,Menom,Menom Mug,Mug,4.88195E+13,Holiday sale $35,2025-01-04 12:00,12,7.38116E+12,local vendors,,5.72131E+12,Point of Sale,67810984120,1,35,0,0,35,0,0,0,4.2,39.2,1
2025-01-04,CHURI,Hiking with Churro- Quilling card,Quilling Card,4.25807E+13,Default Title,2025-01-04 12:00,12,7.35961E+12,Quilling Card,,5.72131E+12,Point of Sale,67810984120,1,13,0,0,13,0,0,0,1.56,14.56,1
2025-01-04,Ggumm Studio,Ggumm Studio Collection,,4.26174E+13,,2025-01-04 13:00,13,7.31059E+12,local vendors,,5.72136E+12,Point of Sale,67810984120,1,29,0,0,29,0,0,0,3.48,32.48,1
2025-01-04,Moody candles co,Moody Candles,,5.06752E+13,$18,2025-01-04 14:00,14,9.17862E+12,,,5.7214E+12,Point of Sale,67810984120,1,18,0,0,18,0,0,0,2.16,20.16,1
2025-01-04,CHURI,Gold Plated Jewelry,Jewelry,4.21531E+13,Necklace $40,2025-01-04 15:00,15,7.27485E+12,,,5.72147E+12,Point of Sale,67810984120,1,40,0,0,40,0,0,0,4.8,44.8,1
2025-01-04,SISI Jewelry,SISI Jewelry,,4.85477E+13,Necklace,2025-01-04 14:00,14,9.21236E+12,local vendors,,5.72139E+12,Point of Sale,67810984120,1,38,0,0,38,0,0,0,4.56,42.56,1
2025-01-04,Milklady,MilkLady Soap,soap,4.24144E+13,Jasmine Milk Tea,2025-01-04 12:00,12,7.3068E+12,artisan soap,,5.72131E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-04,Belovedbyemily,Beloved by Emily Hair Accessories,Hair Accessories,4.24704E+13,Barrettes,2025-01-04 14:00,14,7.31545E+12,local vendors,,5.72141E+12,Point of Sale,67810984120,1,19.98,0,0,19.98,0,0,0,2.4,22.38,2
2025-01-04,Ggumm Studio,Ggumm studio fuzzy keychain,,4.32139E+13,,2025-01-04 14:00,14,7.52193E+12,,,5.72139E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-04,NSB,Nikki Stikki Botanicals Collection,,4.25879E+13,Cbd bath bomb,2025-01-04 13:00,13,7.32554E+12,local vendors,,5.72137E+12,Point of Sale,67810984120,1,20,0,0,20,0,0,0,2.4,22.4,1
2025-01-04,CHURI,Stickers,,4.23667E+13,Cat,2025-01-04 13:00,13,7.30038E+12,,,5.72137E+12,Point of Sale,67810984120,1,4,0,0,4,0,0,0,0.48,4.48,2
2025-01-04,Milklady,MilkLady Soap,soap,4.84904E+13,Rose petals,2025-01-04 17:00,17,7.3068E+12,artisan soap,,5.72155E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
2025-01-04,aRt.V,aRt.V,Art,4.87522E+13,,2025-01-04 10:00,10,7.54159E+12,,,5.72121E+12,Point of Sale,67810984120,1,15,0,0,15,0,0,0,1.8,16.8,1
2025-01-04,CHURI,Build you Charms,,4.88082E+13,,2025-01-04 13:00,13,9.27139E+12,local vendors,,5.72135E+12,Point of Sale,67810984120,1,10,0,0,10,0,0,0,0.7,10.7,1
2025-01-04,CHURI,Hanging Crochet Plant,Crochet hanging plant,4.25375E+13,Strawberry,2025-01-04 13:00,13,7.33735E+12,NEW ARRIVALS,,5.72137E+12,Point of Sale,67810984120,1,29,0,0,29,0,0,0,3.48,32.48,1
2025-01-04,Bead Mindful Gems,Bead Mindful Gem,Clay Earrings,4.25504E+13,Dangles $28,2025-01-04 14:00,14,7.34409E+12,local vendors,,5.72139E+12,Point of Sale,67810984120,1,28,0,0,28,0,0,0,3.36,31.36,1
2025-01-04,Milklady,MilkLady Soap,soap,4.24144E+13,Jasmine Milk Tea,2025-01-04 12:00,12,7.3068E+12,soap,,5.72131E+12,Point of Sale,67810984120,1,12,0,0,12,0,0,0,1.44,13.44,1
